iter	RMSE
133	28.37864273
134	28.37585941
135	28.29907285
136	28.28778098
137	28.06347949
138	27.97743588
139	27.93969857
140	27.53335936
141	27.47864359
142	27.46809116
143	27.46607751
144	27.44658941
145	27.41958117
146	27.38960907
147	27.32480989
148	27.31814606
149	27.31634533
150	27.26360316
151	27.21833451
152	27.0290985
153	26.98843863
154	26.98556206
155	26.92349999
156	26.92005899
157	26.89042665
158	26.88897305
159	26.8607325
160	26.81297939
161	26.76670486
162	26.75244266
163	26.65580147
164	26.62697898
165	26.61959319
166	26.58365513
167	26.5813065
168	26.57025537
169	26.56821451
170	26.5456225
171	26.50673878
172	26.49156776
173	26.49063997
174	26.39712187
175	26.39001142
176	26.35063965
177	26.3442579
178	26.30837753
179	26.28903611
180	26.24019006
181	26.23527243
182	26.19048574
183	26.17305895
184	26.16720788
185	26.16529384
186	26.12977501
187	26.08946164
188	26.03902037
189	26.0226638
190	26.00699394
191	25.9331592
192	25.92667374
193	25.91853501
194	25.89014809
195	25.88321807
196	25.8807958
197	25.84494923
198	25.81957047
199	25.81731872
200	25.80924902
201	25.77124076
202	25.76095881
203	25.75855116
204	25.75356854
205	25.73726716
206	25.69537504
207	25.54552063
208	25.42259841
209	25.41367923
210	25.40012264
211	25.39600285
212	25.38265925
213	25.37137228
214	25.32643238
215	25.30489453
216	25.23139046
217	25.22770981
218	24.75598545
219	24.73835426
220	24.73092089
221	24.71763748
222	24.70024184
223	24.69990668
224	24.67963366
225	24.6661692
226	24.62370291
227	24.6060967
228	24.56292202
229	24.55912972
230	24.53574723
231	24.52143001
232	24.51482747
233	24.49420298
234	24.4905613
235	24.47395288
236	24.4738092
237	24.44524163
238	24.4348683
239	24.43125705
240	24.4037589
241	24.37994101
242	24.36707439
243	24.20645954
244	24.20496438
245	24.19213157
246	24.17720431
247	23.98904082
248	23.98539095
249	23.97332148
250	23.95652294
251	23.94518791
252	23.93714372
253	23.92759436
254	23.90747315
255	23.8969245
256	23.79026011
257	23.78814896
258	23.78264837
259	23.76283181
260	23.4618559
261	23.35398734
262	23.33910241
263	23.32586656
264	23.31738973
265	23.30972622
266	23.28922217
267	23.2830846
268	23.27841761
269	23.26603845
270	23.26377188
271	23.26255278
272	23.25750402
273	23.24025343
274	23.24005579
275	23.21949262
276	23.21011594
277	23.196866
278	23.19369388
279	23.18342121
280	23.16868455
281	22.91577524
282	22.9009239
283	22.89465759
284	22.88582279
285	22.87714295
286	22.87237232
287	22.87021295
288	22.43216353
289	21.94755034
290	21.93689838
291	21.91836067
292	21.91633058
293	21.91096308
294	21.90605517
295	21.90266018
296	21.89108646
297	21.88179083
298	21.8684222
299	21.85585555
300	21.8509268
301	21.84737974
302	21.84135801
303	21.8371172
304	21.82316677
305	21.81182382
306	21.80630614
307	21.80192701
308	21.80005164
309	21.79379912
310	21.79101948
311	21.78234125
312	21.75979583
313	21.41098364
314	21.29551086
315	21.28806218
316	21.27684444
317	21.27053887
318	21.26660448
319	21.26392458
320	21.24313763
321	21.2423344
322	21.24018466
323	21.23232735
324	21.21979677
325	21.21588139
326	21.21357327
327	21.20161754
328	21.20019259
329	21.19942227
330	21.19875849
331	20.99534223
332	20.99458669
333	20.97225439
334	20.97131599
335	20.97085358
336	20.97049134
337	20.96583394
338	20.9654603
339	20.95772866
340	20.94197794
341	20.93380908
342	20.92224716
343	20.91673425
344	20.9147521
345	20.90789575
346	20.89421453
347	20.88178787
348	20.87643433
349	20.86788782
350	20.79226407
351	20.78252755
352	20.77781356
353	20.7611384
354	20.75953024
355	20.74473671
356	20.74151166
357	20.73033222
358	20.72982164
359	20.72935534
360	20.71863886
361	20.71696063
362	20.71659591
363	20.71479845
364	20.71455244
365	20.71109831
366	20.70105274
367	20.68561016
368	20.68536601
369	20.68102233
370	20.6748257
371	20.66731012
372	20.59260101
373	20.20253719
374	20.12016653
375	20.03258595
376	19.90824349
377	19.90223219
378	19.89861326
379	19.89423282
380	19.87928251
381	19.87702118
382	19.87453002
383	19.87213164
384	19.86447647
385	19.85411442
386	19.85316512
387	19.85024483
388	19.84175482
389	19.8405016
390	19.8386989
391	19.83714495
392	19.83324986
393	19.82800309
394	19.82186682
395	19.82123724
396	19.81584708
397	19.8125226
398	19.77764838
399	19.76784407
400	19.76196607
401	19.75999307
402	19.75925865
403	19.75832663
404	19.7578703
405	19.75258667
406	19.74944791
407	19.74606916
408	19.74477845
409	19.74461464
410	19.74130061
411	19.74126144
412	19.73811107
413	19.55227314
414	19.54896978
415	19.5487219
416	19.52135712
417	19.51257463
418	19.51256604
419	19.14571228
420	19.14003829
421	19.13315034
422	19.12763457
423	19.12171692
424	19.11754901
425	18.43158191
426	18.42887077
427	18.41835619
428	18.41641745
429	18.41549335
430	18.41089941
431	18.41001562
432	18.38112339
433	18.35280164
434	18.34798117
435	18.33889707
436	18.33637008
437	18.33629547
438	18.33261553
439	18.32892462
440	18.32850169
441	18.32457329
442	18.32190013
443	18.31813711
444	18.3088405
445	18.30507822
446	18.30434226
447	18.30020126
448	18.29312181
449	18.28627284
450	18.28386988
451	18.28191671
452	18.27683412
453	18.27450279
454	18.27298567
455	18.27246989
456	18.26975974
457	17.67830108
458	17.67571557
459	17.67107159
460	17.66502503
461	17.66471405
462	17.66235066
463	17.66153098
464	17.66070127
465	17.65909627
466	17.65822363
467	17.6522009
468	17.65091617
469	17.32156779
470	17.0048373
471	16.99876278
472	16.99820603
473	16.99667788
474	16.86848913
475	16.7022692
476	16.70201821
477	16.69736476
478	16.69691795
479	16.69153074
480	16.69112894
481	16.67451442
482	16.67042864
483	16.6671904
484	16.66465607
485	16.66378474
486	16.66363451
487	16.65966882
488	16.65495852
489	16.6532271
490	16.33191017
491	16.21782853
492	16.20855361
493	16.20604982
494	16.20592196
495	15.76878501
496	15.76258445
497	15.76052798
498	15.75301583
499	15.75200516
